# Angle (deg)	Cutoff (nm)
0.0000	901.2268
1.0000	901.1769
2.0000	901.0274
3.0000	900.7784
4.0000	900.4301
5.0000	899.9828
6.0000	899.4370
7.0000	898.7930
8.0000	898.0515
9.0000	897.2132
10.0000	896.2787
11.0000	895.2490
12.0000	894.1249
13.0000	892.9075
14.0000	891.5979
15.0000	890.1972
16.0000	888.7068
17.0000	887.1280
18.0000	885.4623
19.0000	883.7112
20.0000	881.8764
21.0000	879.9595
22.0000	877.9624
23.0000	875.8870
24.0000	873.7352
25.0000	871.5091
26.0000	869.2109
27.0000	866.8428
28.0000	864.4071
29.0000	861.9062
30.0000	859.3427
31.0000	856.7190
32.0000	854.0379
33.0000	851.3022
34.0000	848.5145
35.0000	845.6778
36.0000	842.7952
37.0000	839.8696
38.0000	836.9041
39.0000	833.9021
40.0000	830.8668
