# Angle (deg)	Cutoff (nm)
0.0000	902.6615
1.0000	902.6223
2.0000	902.5048
3.0000	902.3090
4.0000	902.0353
5.0000	901.6837
6.0000	901.2547
7.0000	900.7488
8.0000	900.1662
9.0000	899.5078
10.0000	898.7739
11.0000	897.9655
12.0000	897.0832
13.0000	896.1280
14.0000	895.1007
15.0000	894.0023
16.0000	892.8340
17.0000	891.5969
18.0000	890.2921
19.0000	888.9211
20.0000	887.4852
21.0000	885.9858
22.0000	884.4244
23.0000	882.8026
24.0000	881.1220
25.0000	879.3844
26.0000	877.5916
27.0000	875.7453
28.0000	873.8476
29.0000	871.9004
30.0000	869.9057
31.0000	867.8657
32.0000	865.7826
33.0000	863.6585
34.0000	861.4957
35.0000	859.2967
36.0000	857.0638
37.0000	854.7995
38.0000	852.5064
39.0000	850.1869
40.0000	847.8437
