# Angle (deg)	Cutoff (nm)
0.0000	836.6631
1.0000	836.6285
2.0000	836.5244
3.0000	836.3512
4.0000	836.1089
5.0000	835.7977
6.0000	835.4181
7.0000	834.9703
8.0000	834.4547
9.0000	833.8720
10.0000	833.2226
11.0000	832.5072
12.0000	831.7264
13.0000	830.8812
14.0000	829.9722
15.0000	829.0005
16.0000	827.9668
17.0000	826.8724
18.0000	825.7183
19.0000	824.5056
20.0000	823.2356
21.0000	821.9095
22.0000	820.5287
23.0000	819.0946
24.0000	817.6087
25.0000	816.0726
26.0000	814.4877
27.0000	812.8557
28.0000	811.1785
29.0000	809.4577
30.0000	807.6951
31.0000	805.8927
32.0000	804.0523
33.0000	802.1760
34.0000	800.2659
35.0000	798.3239
36.0000	796.3522
37.0000	794.3531
38.0000	792.3288
39.0000	790.2815
40.0000	788.2135
