# Angle (deg)	Cutoff (nm)
0.0000	900.1800
1.0000	900.1475
2.0000	900.0501
3.0000	899.8879
4.0000	899.6610
5.0000	899.3696
6.0000	899.0141
7.0000	898.5948
8.0000	898.1122
9.0000	897.5666
10.0000	896.9588
11.0000	896.2892
12.0000	895.5585
13.0000	894.7676
14.0000	893.9172
15.0000	893.0081
16.0000	892.0414
17.0000	891.0180
18.0000	889.9389
19.0000	888.8052
20.0000	887.6182
21.0000	886.3791
22.0000	885.0892
23.0000	883.7497
24.0000	882.3622
25.0000	880.9282
26.0000	879.4490
27.0000	877.9263
28.0000	876.3618
29.0000	874.7571
30.0000	873.1139
31.0000	871.4341
32.0000	869.7195
33.0000	867.9720
34.0000	866.1934
35.0000	864.3859
36.0000	862.5514
37.0000	860.6920
38.0000	858.8099
39.0000	856.9070
40.0000	854.9857
