# Wavelength (nm)	Vertical PD Coefficient (mW/V)	Horizontal PD Coefficient (mW/V)
740.0000	1.1600	1.9008
745.0000	1.1627	1.9066
750.0000	1.1470	1.8469
755.0000	1.1537	1.8485
760.0000	1.1416	1.8193
765.0000	1.1191	1.7950
770.0000	1.1060	1.7765
775.0000	1.1030	1.7537
780.0000	1.0888	1.7365
785.0000	1.0706	1.7173
790.0000	1.0537	1.6990
795.0000	1.0471	1.6760
800.0000	1.0525	1.6911
805.0000	1.0337	1.6512
810.0000	1.0041	1.6182
815.0000	1.0011	1.6041
820.0000	0.9924	1.5852
825.0000	0.9873	1.5586
830.0000	0.9859	1.5610
835.0000	0.9720	1.5710
840.0000	0.9596	1.5642
845.0000	0.9475	1.5592
850.0000	0.9436	1.5615
855.0000	0.9403	1.5593
860.0000	0.9329	1.5575
865.0000	0.9165	1.5551
870.0000	0.8888	1.5467
875.0000	0.8966	1.5451
880.0000	0.9012	1.5323
885.0000	0.9056	1.5182
890.0000	0.8908	1.5068
895.0000	0.8813	1.4910
900.0000	0.8738	1.4657
905.0000	0.8656	1.4436
910.0000	0.8544	1.4410
915.0000	0.8479	1.4325
920.0000	0.8498	1.4219
925.0000	0.8442	1.4144
930.0000	0.8315	1.4013
935.0000	0.8151	1.4065
940.0000	0.8108	1.3972
945.0000	0.7788	1.4185
